year,id,age,income,anual_hours,number_children,treatment
1981.0,10003.0,38.0,19818.03,1960.0,3.0,0
1985.0,10003.0,42.0,22072.0,2000.0,1.0,0
1986.0,10003.0,43.0,21153.1,2080.0,1.0,0
1982.0,10003.0,39.0,19144.48,1920.0,2.0,0
1997.0,10003.0,54.0,21267.0,0.0,0.0,0
1979.0,10003.0,36.0,15092.03,1920.0,3.0,0
1992.0,10003.0,49.0,29665.0,2080.0,0.0,0
1988.0,10003.0,45.0,23526.55,2000.0,1.0,0
1995.0,10003.0,52.0,18239.15,1960.0,0.0,0
1994.0,10003.0,51.0,9178.43,2080.0,0.0,0
1978.0,10003.0,35.0,16077.1,1920.0,2.0,0
1991.0,10003.0,48.0,33814.0,2080.0,0.0,0
1987.0,10003.0,44.0,23985.95,2080.0,1.0,0
1989.0,10003.0,46.0,27228.0,2000.0,0.0,0
1993.0,10003.0,50.0,31379.0,2080.0,0.0,0
1980.0,10003.0,37.0,14498.22,2000.0,2.0,0
1983.0,10003.0,40.0,20112.6,1820.0,2.0,0
1990.0,10003.0,47.0,26465.0,2080.0,0.0,0
1996.0,10003.0,53.0,15128.9,1440.0,3.0,0
1984.0,10003.0,41.0,18429.05,1600.0,2.0,0
1985.0,10005.0,27.0,-122.0,2600.0,0.0,0
1986.0,10005.0,28.0,17140.0,2080.0,0.0,0
1980.0,10005.0,22.0,7875.0,1944.0,0.0,0
1991.0,10005.0,33.0,14887.5,2530.0,1.0,0
1993.0,10005.0,35.0,9771.0,2080.0,0.0,0
1982.0,10005.0,24.0,12308.0,2860.0,0.0,0
1990.0,10005.0,32.0,33018.0,2600.0,1.0,0
1979.0,10005.0,21.0,5148.5,1627.0,0.0,0
1978.0,10005.0,20.0,3163.85,800.0,0.0,0
1984.0,10005.0,26.0,30848.0,2592.0,0.0,0
1992.0,10005.0,34.0,21100.0,2860.0,0.0,0
1981.0,10005.0,23.0,16830.5,2155.0,0.0,0
1983.0,10005.0,25.0,14747.0,2080.0,0.0,0
1989.0,10005.0,31.0,20953.8,2600.0,0.0,0
1988.0,10005.0,30.0,23903.5,2080.0,0.0,0
1987.0,10005.0,29.0,18510.0,2600.0,0.0,0
1990.0,10021.0,44.0,45982.0,2520.0,1.0,0
1997.0,10021.0,51.0,17552.0,2820.0,0.0,0
1986.0,10021.0,40.0,27126.06,2717.0,1.0,0
1980.0,10021.0,34.0,16977.0,3010.0,3.0,0
